chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Kaligreen (2),Lettuce,11581-2,,,,1,4,LB,6.25,2026-07-12,2026-07-12,,1,1,False,0,,never used,8ba24274-eb8b-4ba1-80f8-5e51b99ddee9
Kanemite 155C,Cuke,66330-38,,,,1,12,FLOZ,31.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,8098c258-ce01-4ee5-9c4c-95b5a0e09194
Kanemite 155C (2),Lettuce,66330-38,,,,1,12,FLOZ,77.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,c56e6023-6df3-4fcf-b171-e8b5c6fd58a2
Kocid 3000-O,Cuke,91411-11-70051,,,,0,48,LB,1.25,2026-07-12,2026-07-12,,1,1,False,0,,never used,c8884213-03d6-4612-b20f-9a89335948f9
Kocid 3000-O (2),Lettuce,91411-11-70051,,,,0,48,LB,3.125,2026-07-12,2026-07-12,,1,1,False,0,,never used,564b20ee-923f-46e9-b89c-851fd807de30
LI 700,Cuke,34704-50035,,,,0,0,FLOZ,-1,2018-03-07,2018-03-07,,1,1,False,1,2026-05-12,used last 12mo,e63904f6-cf2f-4bd4-beca-a19e5643a28f
LI 700,Cuke,34704-50035,,,,0,0,,,2018-03-07,2018-03-07,,1,1,False,1,2026-05-12,used last 12mo,f8deae2a-0c3d-4443-9b79-33fa4e7604ed
Luna Experience,Cuke,264-1091,,,,7,12,FLOZ,17.0,2021-09-15,2021-09-15,,1,2,False,55,2026-07-17,used last 12mo,9df5286f-37dd-4c2e-9f35-6b612f8fd55a
Luna Experience,Cuke,264-1091,,,,7,12,FLOZ,17.0,2021-09-15,2021-09-15,,2,2,True,55,2026-07-17,used last 12mo,4c989d0f-76b0-4382-bf25-1bfc6cea198f
Luna Experience,Lettuce,264-1091,,,,7,12,FLOZ,42.5,2021-09-15,2021-09-15,,1,1,False,55,2026-07-17,used last 12mo,d10fd044-c568-4d69-a614-2158b6653c06
Luna Experience (2),Lettuce,264-1091,,,,7,12,FLOZ,42.5,2021-09-15,2021-09-15,,1,1,False,0,,never used,59453b88-4350-4982-8314-2759f807b982
Luna Sensation,Cuke,264-1090,,,,0,12,FLOZ,7.6,2023-08-11,2023-08-11,,1,2,False,121,2026-07-14,used last 12mo,0a0d2c5a-495e-44dc-86ad-475088c15a25
Luna Sensation,Cuke,264-1090,,,,0,12,FLOZ,7.6,2023-08-11,2023-08-11,,2,2,True,121,2026-07-14,used last 12mo,162f46b4-eda5-4cb9-8036-934c1c286d90
Luna Sensation,Lettuce,264-1090,,,,0,12,FLOZ,19.0,2023-08-11,2023-08-11,,1,2,False,121,2026-07-14,used last 12mo,69f2f5bb-5269-4263-9258-03d94798218f
Luna Sensation,Lettuce,264-1090,,,,0,12,FLOZ,19.0,2023-08-11,2023-08-11,,2,2,True,121,2026-07-14,used last 12mo,08e55909-d715-46a9-9bc1-f9b4626bbc5c
Marrone Bio Venerate CG,Lettuce,84059-14,,,,0,4,FLOZ,10.0,2021-11-21,2021-11-21,,1,1,False,2,2025-12-17,used last 12mo,11a8cc13-c874-4dc9-bba7-de2255e2fb15
